NATO BRUSSELS	NATO / MBFR / GROUP / REPORT / CSCE / COMMITTEE / DEFENSE / NPG / MINISTERIAL / AGENDA
EC BRUSSELS BRUSSELS	COMMITTEE / ARTICLE / EXPLAIN / PREDICTION / DELAY / EFFICIENCY / EMPHASIZE / DEMAND / EFFORT / BALLOT
BUCHAREST	ROMANIAN / ROMANIA / BUCHAREST / VISIT / EMBASSY / AMERICAN / POST / PROGRAM / ONE / AMBASSADOR
BUDAPEST	HUNGARIAN / HUNGARY / EMBASSY / TRADE / MUDD / VISIT / PARTY / AGREEMENT / PAGE / AMERICAN
BUENOS AIRES	ARGENTINE / ARGENTINA / GOA / HILL / EMBASSY / US / LABOR / GOVERNMENT / POLICE / MINISTRY
BUENOS AIRES JOINT	ANTARCTIC / PAIS / AERONAUTICAL / PASO / USAF / OCEANOGRAPHIC / MOON / UNRELATED / AIRFIELD / HEMISPHERIC
BUJUMBURA	MARK / ZAIRE / TOTAL / REGIME / REF / NICKEL / PROJECT / BELGIAN / EVEN / HELP
BUKAVU	ZAIRIAN / CHOLERA / ZAIRE / RETURNEES / LAKE / ZAIRIANS / BELGIAN / UNHCR / SPREAD / DISEASE
CAIRO	EGYPTIAN / CAIRO / EGYPT / ARAB / PRESIDENT / PRESS / ISRAELI / ISRAEL / PEACE / VISIT
CALCUTTA	INDIA / INDIAN / DELHI / CONGEN / GOI / STEEL / COAL / CONOFF / TENDER / SCRAP
CALGARY	OIL / CANADIAN / CANADA / FEDERAL / PIPELINE / ENERGY / PROVINCIAL / HALL / NATURAL / INDUSTRY
CALI	CALI / COLOMBIA / FIRM / APEL / TRADE / CONSULATE / COLOMBIAN / LOCAL / CABLE / CODE
CANBERRA	AUSTRALIAN / AUSTRALIA / GOA / GOVERNMENT / MINISTER / WHITLAM / EMBASSY / DEPARTMENT / DFA / PRIME
CANBERRA JOINT	ORGANISATION / NORM / DFA / ASS / ALAN / RAND / BILITIES / WHITLAM / DEFENCE / ANZUS
CAN THO	NVA / DESIGNATION / DELTA / KIEN / LOVE / VINH / UNSTABLE / AMCONSUL / UNCLAS / AFFIDAVIT
CAPE TOWN	AFRICA / CAPE / TOWN / AFRICAN / BLACK / SWAPO / NAMIBIA / WHITE / GOVERNMENT / MINISTER
CARACAS	VENEZUELA / VENEZUELAN / CARACAS / PRESIDENT / OIL / MINISTER / PETROLEUM / MINISTRY / LATIN / PROJECT
CARACAS JOINT	NACIONAL / COLOMBIAN / DENOUNCE / PARAMOUNT / COMPLEMENT / STRAIN / INCOMPATIBLE / PROSPECTIVE / VOLUME / COLOMBIA
CARACKO	VENEZUELAN / EXPLAIN / PREDICTION / DELAY / EFFICIENCY / EMPHASIZE / DEMAND / EFFORT / BALLOT / CONGRATULATORY
CASABLANCA	CASABLANCA / MOROCCO / MOROCCAN / TRADE / FAIR / GOM / MISSION / GENERAL / AMERICAN / PLEASE
CEBU	SLATE / ALLIANCE / MAYOR / SWEEP / BLOC / MARTIAL / RACE / ELECTORAL / GRENADE / CONSOFF
CHIANG MAI	THAI / BAHT / THAILAND / SUBSTITUTION / PROVINCE / BURMESE / EXPEL / RAID / OPIUM / SHIRT
CIUDAD JUAREZ	PASO / MEXICAN / TEXAS / BORDER / MEXICO / MAYOR / BRIDGE / FENCE / ALIEN / AUTOMOBILE
COLOMBO	LANKA / GSL / MINISTER / GOVERNMENT / TENDER / PRIME / CEYLON / SUPPLY / ONE / TRADE
AMEMBSSY COLOMBO	INTERJECT / TAMIL / DONT / POLICEMAN / CONCEIVE / BIRTHDAY / ALIGN / REBUILD / LANKA / SUPPOSE
