0	35
1	20
2	6
3	4
4	5
5	9
6	3
7	3
8	40
9	985
10	3232
11	2510
12	3398
13	3409
14	3420
15	3024
16	2476
17	1994
18	2982
19	3337
20	2362
21	1232
22	645
23	978
24	2804
25	3086
26	3519
27	4406
28	4621
29	3803
30	4452
31	4258
32	4138
33	4419
34	4714
35	3648
36	5052
37	4926
38	5279
39	4996
40	4083
41	5098
42	4067
43	4336
44	5020
45	4921
46	4294
47	4793
48	4974
49	4438
50	4764
51	2289
52	3165
53	6130
54	6706
55	6854
56	7349
57	7085
58	7317
59	5706
60	7235
61	7212
62	7477
63	7374
64	7857
65	7686
66	7354
67	7106
68	7499
69	7131
70	7824
71	7660
72	7703
73	6670
74	7697
75	7964
76	7394
77	7548
78	6066
79	7411
80	7512
81	7393
82	7148
83	6934
84	6829
85	7139
86	7225
87	6122
88	7871
89	7333
90	7554
91	7219
92	7848
93	6362
94	8110
95	6794
96	8017
97	7563
98	7792
99	6427
100	6929
101	6821
102	6620
103	4015
104	4332
105	6720
106	7436
107	7379
108	8006
109	8153
110	8540
111	6762
112	8215
113	8804
114	8837
115	8312
116	7782
117	7917
118	8297
119	8801
120	8635
121	8317
122	8305
123	8673
124	8879
125	7123
126	8253
127	8366
128	8475
129	8151
130	6901
131	8031
132	7671
133	7965
134	8419
135	7690
136	7678
137	8129
138	8038
139	7321
140	8380
141	8247
142	8384
143	8923
144	8767
145	7278
146	9161
147	7419
148	8836
149	9168
150	8467
151	6643
152	6706
153	6547
154	7761
155	4517
156	5111
157	7207
158	7934
159	8444
160	8477
161	8667
162	8984
163	7796
164	9128
165	8542
166	8689
167	8100
168	6683
169	7124
170	8648
171	8871
172	8753
173	9638
174	9161
175	8941
176	8800
177	6403
178	5536
179	6561
180	6957
181	6841
182	6633
183	7044
184	8356
185	8020
186	8240
187	8188
188	7596
189	7321
190	7451
191	8162
192	6596
193	8999
194	8543
195	8326
196	8229
197	6754
198	8083
199	6652
200	8210
201	8185
202	8050
203	6859
204	7767
205	7356
206	6596
207	4970
208	3919
209	5500
210	6499
211	6897
212	7289
213	7491
214	7605
215	7708
216	6250
217	7917
218	7860
219	8128
220	7854
221	8401
222	7563
223	7275
224	8006
225	8156
226	8336
227	8436
228	8022
229	8234
230	6226
231	7510
232	7329
233	7509
234	7397
235	6390
236	7427
237	7562
238	7780
239	7879
240	7704
241	7213
242	7651
243	8121
244	6315
245	7766
246	8314
247	7780
248	7830
249	6938
250	8266
251	7090
252	7993
253	8018
254	8638
255	6925
256	8310
257	8652
258	7952
259	7737
260	5240
261	5985
262	7634
263	7986
264	8151
265	8590
266	8062
267	8856
268	7215
269	8349
270	8561
271	8562
272	8195
273	8129
274	8326
275	8430
276	8795
277	8422
278	7338
279	8146
280	8225
281	8050
282	6554
283	8338
284	7949
285	7586
286	7552
287	6296
288	8236
289	7616
290	7559
291	7573
292	7022
293	7416
294	7249
295	7402
296	5970
297	7851
298	8493
299	8045
300	8532
301	7116
302	8658
303	8095
304	8156
305	6858
306	7679
307	7720
308	8711
309	7630
310	7725
311	7353
312	4806
