01,exponential (generative process),linear (inference)    ,1,1,event detection,0.898182
01,exponential (generative process),linear (inference)    ,1,1,message identification,0.452000
01,exponential (generative process),linear (inference)    ,1,2,event detection,0.891111
01,exponential (generative process),linear (inference)    ,1,2,message identification,0.457000
01,exponential (generative process),linear (inference)    ,1,3,event detection,0.888485
01,exponential (generative process),linear (inference)    ,1,3,message identification,0.465000
01,exponential (generative process),linear (inference)    ,2,1,event detection,0.893939
01,exponential (generative process),linear (inference)    ,2,1,message identification,0.464000
01,exponential (generative process),linear (inference)    ,2,2,event detection,0.881818
01,exponential (generative process),linear (inference)    ,2,2,message identification,0.472000
01,exponential (generative process),linear (inference)    ,2,3,event detection,0.885455
01,exponential (generative process),linear (inference)    ,2,3,message identification,0.477000
01,exponential (generative process),linear (inference)    ,3,1,event detection,0.830303
01,exponential (generative process),linear (inference)    ,3,1,message identification,0.392000
01,exponential (generative process),linear (inference)    ,3,2,event detection,0.837576
01,exponential (generative process),linear (inference)    ,3,2,message identification,0.393000
01,exponential (generative process),linear (inference)    ,3,3,event detection,0.850303
01,exponential (generative process),linear (inference)    ,3,3,message identification,0.397000
01,exponential (generative process),linear (inference)    ,4,1,event detection,0.811111
01,exponential (generative process),linear (inference)    ,4,1,message identification,0.389000
01,exponential (generative process),linear (inference)    ,4,2,event detection,0.812121
01,exponential (generative process),linear (inference)    ,4,2,message identification,0.384000
01,exponential (generative process),linear (inference)    ,4,3,event detection,0.806061
01,exponential (generative process),linear (inference)    ,4,3,message identification,0.361000
01,exponential (generative process),linear (inference)    ,5,1,event detection,0.793535
01,exponential (generative process),linear (inference)    ,5,1,message identification,0.380000
01,exponential (generative process),linear (inference)    ,5,2,event detection,0.779596
01,exponential (generative process),linear (inference)    ,5,2,message identification,0.355000
01,exponential (generative process),linear (inference)    ,5,3,event detection,0.765253
01,exponential (generative process),linear (inference)    ,5,3,message identification,0.353000
01,exponential (generative process),exponential (inference)    ,1,1,event detection,0.898182
